"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00134101","1893-11","41.6093","-91.5051","195.1","IOWA CITY, IA US","477.9","6","0.0","2,6","4",",6","3",",6","0",",6","","","2",",6","0","2,6","22","2,6","5","1,6","2","1,6","0","1,6","","","18931124",",2,6","","","18931130",",,6","","","18931121",",,6","18931101",",1,6","-16.7","2,6,24,","","","127",",,6,30,","15.2",",,6,21,","23.3","1,6,01,","","","688.7","6","428.8","1,6","","","","","44.4",",,,6","178",",,,6","2.84","2,6","9.69","1,,,6","-4.01","2,,,6","",""
"USC00134101","1893-12","41.6093","-91.5051","195.1","IOWA CITY, IA US","477.9","6","0.0","1,6","6",",6","5",",6","0",",6","","","3",",6","6",",6","29",",6","9","1,6","0","1,6","0","1,6","1","","18931201",",,6","","","18931202",",,6","","","18931202",",,6","18931225",",1,6","-22.8",",6,01,","","","203",",,6,02,","20.3",",,6,02,","15.6","1,6,25,","","","1337.1","6","648.4","1,6","","","","","38.6",",,,6","300",",,,6","-3.49","1,6","2.98","1,,,6","-9.96",",,,6","",""
"USC00134101","1894-01","41.6093","-91.5051","195.1","IOWA CITY, IA US","0.0","6","0.0","1,6","5","3,6","4","3,6","0","3,6","","","2",",6","6",",6","27",",6","10","1,6","0","1,6","0","1,6","2","","18940125",",,6","","","18940123",",,6","","","18940123",",3,6","18940118",",1,6","-34.4",",6,25,","","","229",",,6,23,","22.9","3,,6,23,","16.1","1,6,18,","","","1988.0","6","650.9","1,6","","","","","49.6","3,,,6","280",",,,6","-3.77","1,6","2.66","1,,,6","-10.20",",,,6","",""
"USC00134101","1894-02","41.6093","-91.5051","195.1","IOWA CITY, IA US","0.0","6","0.0",",6","5",",6","3",",6","1",",6","","","4",",6","6",",6","27",",6","12",",6","0",",6","0",",6","","","18940221",",,6","","","18940212",",,6","","","18940212",",,6","18940228","+,,6","-23.3",",6,21,","","","279",",,6,12,","27.9",",,6,12,","12.2",",6,28,+","","","2649.3","6","661.3",",6","","","","","41.6",",,,6","400",",,,6","-5.29",",6","1.49",",,,6","-12.06",",,,6","",""
"USC00134101","1894-03","41.6093","-91.5051","195.1","IOWA CITY, IA US","0.0","6","0.0",",6","6",",6","5",",6","0",",6","","","1",",6","0",",6","17",",6","2",",6","5",",6","0",",6","","","18940325",",,6","","","18940328",",,6","","","18940318",",,6","18940317",",,6","-15.0",",6,25,","","","76",",,6,28,","15.7",",,6,18,","27.2",",6,17,","","","3015.7","6","366.4",",6","","","","","51.6",",,,6","76",",,,6","6.51",",6","13.10",",,,6","-0.07",",,,6","",""
"USC00134101","1894-04","41.6093","-91.5051","195.1","IOWA CITY, IA US","14.2","6","14.2",",6","7",",6","2",",6","2",",6","","","","","0",",6","7",",6","0",",6","11",",6","0",",6","","","18940401",",,6","","","","","","","18940409",",,6","18940429","+,,6","-2.8",",6,01,","","","","","34.5",",,6,09,","30.0",",6,29,+","","","3235.9","6","220.2",",6","","","","","69.0",",,,6","","","11.47",",6","17.98",",,,6","4.95",",,,6","",""
"USC00134101","1894-05","41.6093","-91.5051","195.1","IOWA CITY, IA US","33.6","6","19.4","1,6","10",",6","6",",6","0",",6","","","","","0","1,6","0","1,6","0",",6","20",",6","0",",6","","","18940519",",1,6","","","","","","","18940510",",,6","18940516","+,,6","1.1","1,6,19,","","","","","19.8",",,6,10,","31.1",",6,16,+","","","3336.6","6","100.7",",6","","","","","78.5",",,,6","","","15.76","1,6","23.07",",,,6","8.45","1,,,6","",""
"USC00134101","1894-06","41.6093","-91.5051","195.1","IOWA CITY, IA US","187.7","6","154.1",",6","5",",6","3",",6","1",",6","","","","","0",",6","0",",6","0",",6","30",",6","12",",6","","","18940607",",,6","","","","","","","18940617",",,6","18940629",",,6","7.8",",6,07,","","","","","31.8",",,6,17,","35.0",",6,29,","","","3340.8","6","4.2",",6","","","","","61.0",",,,6","","","23.33",",6","30.41",",,,6","16.25",",,,6","",""
"USC00134101","1894-07","41.6093","-91.5051","195.1","IOWA CITY, IA US","337.4","6","149.7",",6","3",",6","2",",6","0",",6","","","","","0",",6","0",",6","0",",6","31",",6","18",",6","","","18940722","+,,6","","","","","","","18940720",",,6","18940726",",,6","8.9",",6,22,+","","","","","17.8",",,6,20,","38.3",",6,26,","","","0.9","6","0.9",",6","","","","","22.9",",,,6","","","23.14",",6","31.92",",,,6","14.35",",,,6","",""
"USC00134101","1894-08","41.6093","-91.5051","195.1","IOWA CITY, IA US","460.4","6","123.0",",6","4",",6","3",",6","1",",6","","","","","0",",6","0",",6","0",",6","31",",6","7",",6","","","18940804",",,6","","","","","","","18940814",",,6","18940809",",,6","6.7",",6,04,","","","","","34.0",",,6,14,","37.2",",6,09,","","","5.0","6","4.1",",6","","","","","60.9",",,,6","","","22.17",",6","30.33",",,,6","14.01",",,,6","",""
"USC00134101","1894-09","41.6093","-91.5051","195.1","IOWA CITY, IA US","521.1","6","60.7","1,6","12",",6","12",",6","2",",6","","","","","0",",6","0",",6","0","1,6","25","1,6","2","1,6","","","18940924",",,6","","","","","","","18940915",",,6","18940901",",1,6","2.8",",6,24,","","","","","30.5",",,6,15,","35.6","1,6,01,","","","53.1","6","48.1","1,6","","","","","125.9",",,,6","","","18.80","1,6","25.75","1,,,6","11.85",",,,6","",""
"USC00134101","1894-10","41.6093","-91.5051","195.1","IOWA CITY, IA US","526.7","6","5.6",",6","7",",6","6",",6","1",",6","","","","","0",",6","4",",6","0",",6","13",",6","0",",6","","","18941014","+,,6","","","","","","","18941021",",,6","18941016",",,6","-2.8",",6,14,+","","","","","26.4",",,6,21,","30.6",",6,16,","","","244.3","6","191.2",",6","","","","","58.5",",,,6","","","12.35",",6","19.23",",,,6","5.46",",,,6","",""
"USC00134101","1894-11","41.6093","-91.5051","195.1","IOWA CITY, IA US","526.7","6","0.0","2,6","2",",6","2",",6","1",",6","","","","","0","1,6","25","1,6","2","1,6","0","1,6","0","1,6","","","18941119",",1,6","","","","","","","18941102",",,6","18941126","+,1,6","-16.1","1,6,19,","","","","","41.1",",,6,02,","17.8","1,6,26,+","","","716.0","6","471.7","1,6","","","","","45.7",",,,6","","","1.28","2,6","7.23","1,,,6","-4.67","1,,,6","",""
"USC00134101","1894-12","41.6093","-91.5051","195.1","IOWA CITY, IA US","526.7","6","0.0","3,6","3",",6","3",",6","0",",6","","","0",",6","1","2,6","25","2,6","5","2,6","0","2,6","0","2,6","","","18941228",",2,6","","","18941227","+,,6","","","18941215",",,6","18941206",",2,6","-19.4","2,6,28,","","","3",",,6,27,+","13.2",",,6,15,","14.4","2,6,06,","","","1232.9","6","516.9","2,6","","","","","24.9",",,,6","6",",,,6","-0.23","3,6","4.58","2,,,6","-5.03","2,,,6","",""
"USC00134101","1895-01","41.6093","-91.5051","195.1","IOWA CITY, IA US","0.0","6","0.0",",6","6","2,6","5","2,6","1","2,6","","","4",",6","15",",6","31",",6","22",",6","0",",6","0",",6","","","18950128",",,6","","","18950126",",,6","","","18950126",",2,6","18950121",",,6","-29.4",",6,28,","","","343",",,6,26,","34.3","2,,6,26,","8.9",",6,21,","","","2107.1","6","874.2",",6","","","","","60.2","2,,,6","475",",,,6","-9.87",",6","-3.40",",,,6","-16.34",",,,6","",""
"USC00134101","1895-02","41.6093","-91.5051","195.1","IOWA CITY, IA US","0.0","6","0.0",",6","3",",6","2",",6","0",",6","","","0",",6","15",",6","26",",6","16",",6","0",",6","0",",6","","","18950208",",,6","","","18950206",",,6","","","18950206",",,6","18950228",",,6","-30.6",",6,08,","","","13",",,6,06,","12.7",",,6,06,","17.2",",6,28,","","","2865.6","6","758.5",",6","","","","","16.3",",,,6","13",",,,6","-8.76",",6","-1.76",",,,6","-15.76",",,,6","",""
"USC00134101","1895-03","41.6093","-91.5051","195.1","IOWA CITY, IA US","0.3","6","0.3","1,6","4",",6","3",",6","0",",6","","","2",",6","0","1,6","23","1,6","2","1,6","4","1,6","0","1,6","","","18950306","+,1,6","","","18950304",",,6","","","18950331",",,6","18950329",",1,6","-14.4","1,6,06,+","","","51",",,6,04,","22.9",",,6,31,","30.6","1,6,29,","","","3323.9","6","458.3","1,6","","","","","31.8",",,,6","102",",,,6","3.07","1,6","10.83","1,,,6","-4.70","1,,,6","",""
"USC00134101","1895-04","41.6093","-91.5051","195.1","IOWA CITY, IA US","11.4","6","11.1",",6","6",",6","4",",6","1",",6","","","0",",6","0",",6","4",",6","0",",6","12",",6","1",",6","","","18950402",",,6","","","18950402",",,6","","","18950406",",,6","18950430",",,6","-4.4",",6,02,","","","0",",T,6,02,","25.4",",,6,06,","32.2",",6,30,","","","3517.1","6","193.2",",6","","","","","42.2",",,,6","0",",T,,6","12.26",",6","19.56",",,,6","4.96",",,,6","",""
"USC00134101","1895-05","41.6093","-91.5051","195.1","IOWA CITY, IA US","68.7","6","57.3","2,6","14",",6","9",",6","0",",6","","","","","0","2,6","1","2,6","0","2,6","18","2,6","2","2,6","","","18950514",",2,6","","","","","","","18950530",",,6","18950528","+,2,6","-1.1","2,6,14,","","","","","20.8",",,6,30,","32.8","2,6,28,+","","","3606.2","6","89.1","2,6","","","","","108.1",",,,6","","","17.24","2,6","23.82","2,,,6","10.66","2,,,6","",""
"USC00134101","1895-06","41.6093","-91.5051","195.1","IOWA CITY, IA US","205.1","6","136.4",",6","7",",6","2",",6","0",",6","","","","","0",",6","0",",6","0",",6","30",",6","8",",6","","","18950619","+,,6","","","","","","","18950625",",,6","18950624",",,6","10.0",",6,19,+","","","","","15.0",",,6,25,","35.6",",6,24,","","","3607.1","6","0.9",",6","","","","","28.1",",,,6","","","22.85",",6","30.22",",,,6","15.48",",,,6","",""
"USC00134101","1895-07","41.6093","-91.5051","195.1","IOWA CITY, IA US","362.0","6","156.9",",6","8",",6","6",",6","4",",6","","","","","0",",6","0",",6","0",",6","31",",6","12",",6","","","18950731",",,6","","","","","","","18950719",",,6","18950716",",,6","10.6",",6,31,","","","","","118.6",",,6,19,","37.8",",6,16,","","","0.0","6","0.0",",6","","","","","256.6",",,,6","","","23.40",",6","30.44",",,,6","16.35",",,,6","",""
"USC00134101","1895-08","41.6093","-91.5051","195.1","IOWA CITY, IA US","511.0","6","149.0",",6","4",",6","2",",6","1",",6","","","","","0",",6","0",",6","0",",6","31",",6","8",",6","","","18950820",",,6","","","","","","","18950823",",,6","18950813",",,6","10.0",",6,20,","","","","","36.6",",,6,23,","36.1",",6,13,","","","0.0","6","0.0",",6","","","","","45.0",",,,6","","","23.14",",6","30.25",",,,6","16.02",",,,6","",""
"USC00134101","1895-09","41.6093","-91.5051","195.1","IOWA CITY, IA US","620.3","6","109.3",",6","6",",6","5",",6","1",",6","","","","","0",",6","1",",6","0",",6","25",",6","11",",6","","","18950930",",,6","","","","","","","18950915",",,6","18950911",",,6","-0.6",",6,30,","","","","","41.1",",,6,15,","35.6",",6,11,","","","48.6","6","48.6",",6","","","","","87.2",",,,6","","","20.36",",6","28.17",",,,6","12.54",",,,6","",""
"USC00134101","1895-10","41.6093","-91.5051","195.1","IOWA CITY, IA US","620.3","6","0.0",",6","3",",6","2",",6","0",",6","","","","","0",",6","15",",6","0",",6","8",",6","0",",6","","","18951030",",,6","","","","","","","18951007",",,6","18951026",",,6","-12.2",",6,30,","","","","","22.4",",,6,07,","25.6",",6,26,","","","371.4","6","322.8",",6","","","","","35.1",",,,6","","","7.92",",6","16.48",",,,6","-0.64",",,,6","",""
"USC00134101","1895-12","41.6093","-91.5051","195.1","IOWA CITY, IA US","","","0.0",",6","","","","","","","","","2",",6","1",",6","30",",6","10",",6","0",",6","0",",6","","","18951205",",,6","","","18951201",",,6","","","","","18951217",",,6","-20.6",",6,05,","","","38",",,6,01,","","","12.8",",6,17,","","","","","649.6",",6","","","","","","","76",",,,6","-2.62",",6","1.65",",,,6","-6.89",",,,6","",""
"USC00134101","1896-01","41.6093","-91.5051","195.1","IOWA CITY, IA US","0.0","6","0.0",",6","4",",6","3",",6","0",",6","","","1",",6","4",",6","29",",6","10",",6","0",",6","0",",6","","","18960103",",,6","","","18960123",",,6","","","18960123",",,6","18960111",",,6","-23.9",",6,03,","","","102",",,6,23,","10.2",",,6,23,","11.1",",6,11,","","","","","677.0",",6","","","","","17.8",",,,6","115",",,,6","-3.50",",6","1.87",",,,6","-8.88",",,,6","",""
"USC00134101","1896-02","41.6093","-91.5051","195.1","IOWA CITY, IA US","0.0","6","0.0","1,6","6","3,6","5","3,6","0","3,6","","","4",",6","4",",6","27",",6","8","1,6","0","1,6","0","1,6","","","18960219","+,,6","","","18960212",",,6","","","18960212",",3,6","18960226",",1,6","-22.8",",6,19,+","","","152",",,6,12,","15.2","3,,6,12,","17.2","1,6,26,","","","","","574.0","1,6","","","","","38.3","3,,,6","319",",,,6","-2.41","1,6","3.45","1,,,6","-8.28",",,,6","",""
"USC00134101","1896-03","41.6093","-91.5051","195.1","IOWA CITY, IA US","0.0","6","0.0",",6","","","","","","","","","2",",6","0",",6","27",",6","4",",6","2",",6","0",",6","","","18960313",",,6","","","18960304",",,6","","","","","18960331",",,6","-14.4",",6,13,","","","64",",,6,04,","","","22.2",",6,31,","","","","","542.0",",6","","","","","","","89",",,,6","0.85",",6","6.99",",,,6","-5.29",",,,6","",""
"USC00134101","1896-04","41.6093","-91.5051","195.1","IOWA CITY, IA US","22.7","6","22.7",",6","10",",6","7",",6","2",",6","","","1",",6","0",",6","6",",6","0",",6","17",",6","0",",6","","","18960403",",,6","","","18960407",",,6","","","18960407",",,6","18960416","+,,6","-6.7",",6,03,","","","203",",,6,07,","47.0",",,6,07,","28.3",",6,16,+","","","","","154.2",",6","","","","","130.7",",,,6","203",",,,6","13.95",",6","20.24",",,,6","7.66",",,,6","",""
"USC00134101","1896-05","41.6093","-91.5051","195.1","IOWA CITY, IA US","92.3","6","69.6",",6","12",",6","10",",6","1",",6","","","","","0",",6","0",",6","0",",6","28",",6","3",",6","","","18960515",",,6","","","","","","","18960516",",,6","18960510","+,,6","6.7",",6,15,","","","","","31.0",",,6,16,","32.2",",6,10,+","","","","","19.9",",6","","","","","104.0",",,,6","","","19.94",",6","26.67",",,,6","13.20",",,,6","",""
"USC00134101","1896-06","41.6093","-91.5051","195.1","IOWA CITY, IA US","207.4","6","115.1","4,6","10",",6","5",",6","0",",6","","","","","0","1,6","0","1,6","0","3,6","26","3,6","8","3,6","","","18960601",",1,6","","","","","","","18960625",",,6","18960620","+,3,6","6.1","1,6,01,","","","","","15.2",",,6,25,","33.3","3,6,20,+","","","","","4.2","3,6","","","","","47.2",",,,6","","","22.28","4,6","29.29","3,,,6","15.26","1,,,6","",""
"USC00134101","1896-07","41.6093","-91.5051","195.1","IOWA CITY, IA US","374.1","6","166.7","1,6","11",",6","8",",6","2",",6","","","","","0",",6","0",",6","0","1,6","30","1,6","9","1,6","","","18960717","+,,6","","","","","","","18960718",",,6","18960714",",1,6","10.6",",6,17,+","","","","","78.7",",,6,18,","36.7","1,6,14,","","","0.3","6","0.3","1,6","","","","","178.9",",,,6","","","23.89","1,6","30.29","1,,,6","17.50",",,,6","",""
"USC00134101","1896-08","41.6093","-91.5051","195.1","IOWA CITY, IA US","507.1","6","133.0","1,6","7",",6","6",",6","1",",6","","","","","0","1,6","0","1,6","0","1,6","30","1,6","7","1,6","","","18960827",",1,6","","","","","","","18960801",",,6","18960804",",1,6","7.2","1,6,27,","","","","","26.7",",,6,01,","36.7","1,6,04,","","","9.4","6","9.1","1,6","","","","","62.1",",,,6","","","22.46","1,6","28.89","1,,,6","16.04","1,,,6","",""
"USC00134101","1896-09","41.6093","-91.5051","195.1","IOWA CITY, IA US","528.7","6","21.6",",6","9",",6","6",",6","0",",6","","","","","0",",6","2",",6","0",",6","17",",6","0",",6","","","18960928",",,6","","","","","","","18960930",",,6","18960902",",,6","-1.1",",6,28,","","","","","17.8",",,6,30,","30.0",",6,02,","","","120.5","6","111.1",",6","","","","","46.3",",,,6","","","15.35",",6","21.63",",,,6","9.07",",,,6","",""
"USC00134101","1896-10","41.6093","-91.5051","195.1","IOWA CITY, IA US","528.7","6","0.0",",6","3",",6","3",",6","1",",6","","","","","0",",6","10",",6","0",",6","6",",6","0",",6","","","18961024",",,6","","","","","","","18961029",",,6","18961027",",,6","-6.7",",6,24,","","","","","57.7",",,6,29,","23.9",",6,27,","","","403.9","6","283.4",",6","","","","","69.6",",,,6","","","9.19",",6","16.85",",,,6","1.54",",,,6","",""
"USC00134101","1896-11","41.6093","-91.5051","195.1","IOWA CITY, IA US","528.7","6","0.0",",6","6",",6","3",",6","0",",6","","","","","1",",6","24",",6","7",",6","1",",6","0",",6","","","18961130",",,6","","","","","","","18961125",",,6","18961116",",,6","-18.3",",6,30,","","","","","17.8",",,6,25,","22.8",",6,16,","","","924.4","6","520.5",",6","","","","","29.6",",,,6","","","0.98",",6","6.62",",,,6","-4.65",",,,6","",""
"USC00134101","1896-12","41.6093","-91.5051","195.1","IOWA CITY, IA US","528.7","6","0.0","1,6","5",",6","1",",6","0",",6","","","1",",6","0",",6","27",",6","5","1,6","0","1,6","0","1,6","","","18961201",",,6","","","18961217",",,6","","","18961217",",,6","18961212","+,1,6","-13.9",",6,01,","","","51",",,6,17,","7.6",",,6,17,","15.6","1,6,12,+","","","1460.1","6","535.7","1,6","","","","","13.9",",,,6","64",",,,6","0.43","1,6","5.23","1,,,6","-4.37",",,,6","",""
"USC00134101","1897-01","41.6093","-91.5051","195.1","IOWA CITY, IA US","0.0","6","0.0",",6","7",",6","6",",6","1",",6","","","3",",6","10",",6","30",",6","17",",6","0",",6","0",",6","","","18970125",",,6","","","18970114",",,6","","","18970103",",,6","18970101",",,6","-28.9",",6,25,","","","114",",,6,14,","29.0",",,6,03,","17.8",",6,01,","","","2266.3","6","806.2",",6","","","","","92.9",",,,6","305",",,,6","-7.67",",6","-2.76",",,,6","-12.59",",,,6","",""
"USC00134101","1897-02","41.6093","-91.5051","195.1","IOWA CITY, IA US","0.0","6","0.0",",6","5",",6","5",",6","0",",6","","","4",",6","2",",6","27",",6","9",",6","0",",6","0",",6","","","18970226",",,6","","","18970221",",,6","","","18970220",",,6","18970206",",,6","-22.8",",6,26,","","","102",",,6,21,","13.0",",,6,20,","7.8",",6,06,","","","2870.8","6","604.5",",6","","","","","33.1",",,,6","306",",,,6","-3.26",",6","1.19",",,,6","-7.70",",,,6","",""
"USC00134101","1897-03","41.6093","-91.5051","195.1","IOWA CITY, IA US","0.0","6","0.0",",6","7",",6","7",",6","0",",6","","","1",",6","0",",6","22",",6","4",",6","1",",6","0",",6","","","18970314",",,6","","","18970323",",,6","","","18970331",",,6","18970319",",,6","-17.2",",6,14,","","","127",",,6,23,","19.8",",,6,31,","21.1",",6,19,","","","3387.8","6","517.0",",6","","","","","52.6",",,,6","127",",,,6","1.65",",6","6.30",",,,6","-2.99",",,,6","",""
"USC00134101","1897-04","41.6093","-91.5051","195.1","IOWA CITY, IA US","4.5","6","4.5",",6","10",",6","7",",6","1",",6","","","","","0",",6","6",",6","0",",6","6",",6","0",",6","","","18970419","+,,6","","","","","","","18970401",",,6","18970422",",,6","-2.8",",6,19,+","","","","","50.3",",,6,01,","31.7",",6,22,","","","3658.3","6","270.5",",6","","","","","116.9",",,,6","","","9.47",",6","14.88",",,,6","4.06",",,,6","",""
"USC00134101","1897-05","41.6093","-91.5051","195.1","IOWA CITY, IA US","12.0","6","7.5",",6","8",",6","6",",6","1",",6","","","","","0",",6","0",",6","0",",6","19",",6","0",",6","","","18970531",",,6","","","","","","","18970527",",,6","18970518","+,,6","1.1",",6,31,","","","","","46.0",",,6,27,","29.4",",6,18,+","","","3778.9","6","120.6",",6","","","","","79.0",",,,6","","","14.68",",6","22.14",",,,6","7.23",",,,6","",""
"USC00134101","1897-06","41.6093","-91.5051","195.1","IOWA CITY, IA US","119.8","6","107.8",",6","7",",6","5",",6","1",",6","","","","","0",",6","0",",6","0",",6","26",",6","6",",6","","","18970607","+,,6","","","","","","","18970618",",,6","18970617",",,6","3.3",",6,07,+","","","","","25.7",",,6,18,","36.1",",6,17,","","","3819.0","6","40.1",",6","","","","","60.5",",,,6","","","20.59",",6","27.19",",,,6","13.99",",,,6","",""
