STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,AWND,AWND_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HN01,HN01_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,HX01,HX01_ATTRIBUTES,LN01,LN01_ATTRIBUTES,LX01,LX01_ATTRIBUTES,MN01,MN01_ATTRIBUTES,MNPN,MNPN_ATTRIBUTES,MX01,MX01_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES
USW00023065,1896-04,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,,,,,3,",6",3,",6",1,",6",,,,,,,,,,,,,,,,,,,,,,,,,,,18960412,",,6",,,,,,,,,27.9,",,6,12,",,,,,,,,,,,,,,,,,,,,,,,,,60.4,",,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00023065,1896-09,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,,,,,3,",6",3,",6",0,",6",,,,,,,,,,,,,,,,,,,,,,,,,,,18960918,",,6",,,,,,,,,5.8,",,6,18,",,,,,,,,,,,,,,,,,,,,,,,,,12.1,",,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00023065,1896-10,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,,,3.7,",6",2,",6",2,",6",1,",6",,,1,",6",0,",6",6,",6",0,",6",23,",6",0,",6",,,,,18961028,"+,,6",,,18961029,",,6",,,18961029,",,6",18961003,",,6",-3.9,",6,28,+",,,254,",,6,29,",25.4,",,6,29,",31.7,",6,03,",,,,,,,172.8,",6",,,,,,,,,,,,,,,39.4,",,,6",,,,,,,254,",,,6",12.88,",6",21.84,",,,6",3.91,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1896-11,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,,,0,",6",2,"1,6",2,"1,6",0,"1,6",,,2,",6",3,",6",26,",6",6,",6",3,",6",0,",6",2,,,,18961128,",,6",,,18961124,"+,,6",,,18961125,"+,1,6",18961116,",,6",-22.2,",6,28,",,,51,",,6,24,+",5.1,"1,,6,25,+",24.4,",6,16,",,,,,,,504.8,",6",,,,,,,,,,,,,,,10.2,"1,,,6",,,,,,,102,",,,6",1.51,",6",9.22,",,,6",-6.2,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1896-12,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,,,0,",Z",,,,,,,,,0,",6",0,",6",26,",Z",2,",6",0,",6",0,",6",,,,,18961202,",,Z",,,18961231,"+,,6",,,,,18961209,",,6",-10.6,",Z,02,",,,0,",,6,31,+",,,17.8,",6,09,",,,,,,,461.5,",6",,,,,,,,,,,,,,,,,,,,,,,0,",,,6",3.45,",Z",10.18,",,,6",-3.28,",,,Z",,,,,,,,,,,,,,,,,,,,
USW00023065,1897-01,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,0,,0,",6",0,",6",0,",6",0,",6",,,0,",6",6,",6",25,",6",8,",6",0,",6",0,",6",,,,,18970127,",,6",,,18970126,",,6",,,18970126,",,6",18970122,",,6",-26.7,",6,27,",,,0,",T,6,26,",0,",T,6,26,",17.2,",6,22,",,,,,,,614.4,",6",,,,,,,,,,,,,,,0,",T,,6",,,,,,,0,",T,,6",-1.49,",6",4.3,",,,6",-7.27,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1897-02,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,0,,0,"1,6",3,",6",1,",6",0,",6",,,1,",6",0,",6",25,",6",0,"1,6",0,"1,6",0,"1,6",,,,,18970213,",,6",,,18970221,",,6",,,18970221,",,6",18970216,",1,6",-15,",6,13,",,,102,",,6,21,",10.2,",,6,21,",16.7,"1,6,16,",,,,,,,486.2,"1,6",,,,,,,,,,,,,,,12.8,",,,6",,,,,,,128,",,,6",0.35,"1,6",7.87,"1,,,6",-7.16,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1897-03,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,0,,0,",6",3,",6",3,",6",1,",6",,,2,",6",1,",6",27,",6",5,",6",0,",6",0,",6",,,,,18970323,",,6",,,18970322,",,6",,,18970322,",,6",18970328,",,6",-18.9,",6,23,",,,356,",,6,22,",35.6,",,6,22,",20,",6,28,",,,,,,,510.9,",6",,,,,,,,,,,,,,,47,",,,6",,,,,,,432,",,,6",1.85,",6",9,",,,6",-5.29,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1897-04,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,0,,0,",6",6,",6",5,",6",0,",6",,,,,0,",6",14,",6",0,",6",10,",6",0,",6",,,,,18970414,"+,,6",,,,,,,18970412,",,6",18970420,",,6",-5,",6,14,+",,,,,17.8,",,6,12,",27.2,",6,20,",,,,,,,288.4,",6",,,,,,,,,,,,,,,48,",,,6",,,,,,,,,8.72,",6",16.88,",,,6",0.56,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1897-05,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,51.2,,51.2,",6",4,",6",3,",6",0,",6",,,,,0,",6",0,",6",0,",6",30,",6",3,",6",,,,,18970507,"+,,6",,,,,,,18970521,",,6",18970531,",,6",1.7,",6,07,+",,,,,16.5,",,6,21,",35.6,",6,31,",,,,,,,58,",6",,,,,,,,,,,,,,,25.6,",,,6",,,,,,,,,18.11,",6",26.75,",,,6",9.47,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1897-06,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,204.2,,153,",6",7,",6",6,",6",0,",6",,,,,0,",6",0,",6",0,",6",30,",6",18,",6",,,,,18970607,"+,,6",,,,,,,18970601,",,6",18970619,",,6",7.2,",6,07,+",,,,,24.4,",,6,01,",38.3,",6,19,",,,,,,,2.8,",6",,,,,,,,,,,,,,,86.6,",,,6",,,,,,,,,23.34,",6",32.65,",,,6",14.03,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1897-07,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,440.2,,236,",6",4,",6",4,",6",1,",6",,,,,0,",6",0,",6",0,",6",31,",6",27,",6",,,,,18970719,",,6",,,,,,,18970719,",,6",18970707,",,6",7.2,",6,19,",,,,,44.5,",,6,19,",42.2,",6,07,",,,2.8,,,,2.8,",6",,,,,,,,,,,,,,,64.6,",,,6",,,,,,,,,25.86,",6",35.44,",,,6",16.28,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1897-08,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,661.2,,221,",6",4,",6",4,",6",2,",6",,,,,0,",6",0,",6",0,",6",31,",6",17,",6",,,,,18970817,",,6",,,,,,,18970816,",,6",18970818,",,6",7.2,",6,17,",,,,,63.8,",,6,16,",40,",6,18,",,,2.8,,,,0,",6",,,,,,,,,,,,,,,104.5,",,,6",,,,,,,,,25.46,",6",32.47,",,,6",18.45,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1906-07,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,,,,,2,",6",2,",6",0,",6",,,,,,,,,,,,,,,,,,,,,,,,,,,19060726,",,6",,,,,,,,,21.6,",,6,26,",,,,,,,,,,,,,,,,,,,,,,,,,29,",,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00023065,1906-08,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,,,140,",6",6,",6",6,",6",0,",6",,,,,0,",6",0,",6",0,",6",30,",6",16,",6",,,,,19060826,",,6",,,,,,,19060825,",,6",19060822,"+,,6",5.6,",6,26,",,,,,16,",,6,25,",37.2,",6,22,+",,,,,,,6.4,",6",,,,,,,,,,,,,,,51.5,",,,6",,,,,,,,,22.64,",6",31.53,",,,6",13.75,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1906-09,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,,,41.4,",6",5,",6",4,",6",0,",6",,,,,0,",6",0,",6",0,",6",28,",6",4,",6",,,,,19060930,",,6",,,,,,,19060926,",,6",19060909,"+,,6",4.4,",6,30,",,,,,17,",,6,26,",35,",6,09,+",,,,,,,51.1,",6",,,,,,,,,,,,,,,39.1,",,,6",,,,,,,,,18.01,",6",26.17,",,,6",9.85,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1906-10,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,,,1.4,",6",5,",6",3,",6",0,",6",,,2,",6",0,",6",16,",6",0,",6",17,",6",2,",6",,,,,19061025,"+,,6",,,19061022,",,6",,,19061014,",,6",19061013,"+,,6",-6.1,",6,25,+",,,152,",,6,22,",16.5,",,6,14,",32.2,",6,13,+",,,,,,,221,",6",,,,,,,,,,,,,,,39.9,",,,6",,,,,,,216,",,,6",11.25,",6",21.32,",,,6",1.18,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1906-11,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,,,0,",6",2,",6",1,",6",0,",6",,,0,",6",0,",6",27,",6",5,",6",4,",6",0,",6",,,,,19061120,"+,,6",,,19061125,"+,,6",,,19061113,",,6",19061107,",,6",-12.2,",6,20,+",,,0,",T,6,25,+",2.5,",,6,13,",23.3,",6,07,",,,,,,,465.7,",6",,,,,,,,,,,,,,,3.8,",,,6",,,,,,,0,",T,,6",2.81,",6",10.8,",,,6",-5.19,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1906-12,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,,,,,0,",6",0,",6",0,",6",,,0,",6",,,,,,,,,,,,,,,,,,,19061231,"+,,6",,,19061231,"+,,6",,,,,,,0,",T,6,31,+",0,",T,6,31,+",,,,,,,,,,,,,,,,,,,,,,,,,0,",T,,6",,,,,,,0,",T,,6",,,,,,,,,,,,,,,,,,,,,,,,,,
USW00023065,1907-01,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,,,,,,,,,,,,,0,",6",,,,,,,,,,,,,,,,,,,19070114,",,6",,,,,,,,,,,5,",,6,14,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,",,,6",,,,,,,,,,,,,,,,,,,,,,,,,,
USW00023065,1907-02,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,,,,,0,"2,6",0,"2,6",0,"2,6",,,0,",6",,,,,,,,,,,,,,,,,,,19070228,"+,,6",,,19070207,",2,6",,,,,,,0,",T,6,28,+",0,"2,T,6,07,",,,,,,,,,,,,,,,,,,,,,,,,,0,"2,T,,6",,,,,,,0,",T,,6",,,,,,,,,,,,,,,,,,,,,,,,,,
USW00023065,1907-03,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,,,13,",6",1,",6",1,",6",0,",6",,,1,",6",0,",6",20,",6",0,",6",15,",6",2,",6",,,,,19070303,",,6",,,19070309,",,6",,,19070309,",,6",19070320,"+,,6",-11.7,",6,03,",,,76,",,6,09,",10.9,",,6,09,",32.2,",6,20,+",,,,,,,292,",6",,,,,,,,,,,,,,,10.9,",,,6",,,,,,,76,",,,6",9.33,",6",20.12,",,,6",-1.46,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1907-04,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,,,0.3,",6",6,",6",4,",6",0,",6",,,3,",6",0,",6",17,",6",0,",6",9,",6",1,",6",,,,,19070430,",,6",,,19070429,",,6",,,19070417,",,6",19070410,",,6",-10,",6,30,",,,76,",,6,29,",7.1,",,6,17,",32.2,",6,10,",,,,,,,309.5,",6",,,,,,,,,,,,,,,20.8,",,,6",,,,,,,191,",,,6",8.03,",6",17.02,",,,6",-0.97,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1907-05,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,,,21.6,",6",9,"1,6",3,"1,6",0,"1,6",,,,,0,",6",8,",6",0,",6",13,",6",3,",6",,,,,19070503,",,6",,,,,,,19070530,",1,6",19070522,"+,,6",-5.6,",6,03,",,,,,23.4,"1,,6,30,",34.4,",6,22,+",,,,,,,204.8,",6",,,,,,,,,,,,,,,43.7,"1,,,6",,,,,,,,,12.42,",6",20.77,",,,6",4.07,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1907-06,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,,,100.2,",6",9,",6",5,",6",0,",6",,,,,0,",6",0,",6",0,",6",30,",6",12,",6",,,,,19070601,",,6",,,,,,,19070602,",,6",19070629,",,6",4.4,",6,01,",,,,,10.2,",,6,02,",37.8,",6,29,",,,,,,,13.9,",6",,,,,,,,,,,,,,,38.7,",,,6",,,,,,,,,21.21,",6",30.82,",,,6",11.6,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1907-07,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,,,214.6,",6",9,",6",7,",6",0,",6",,,,,0,",6",0,",6",0,",6",31,",6",28,",6",,,,,19070715,",,6",,,,,,,19070726,",,6",19070705,",,6",11.7,",6,15,",,,,,24.1,",,6,26,",38.9,",6,05,",,,0,6,,,0,",6",,,,,,,,,,,,,,,60.8,",,,6",,,,,,,,,25.25,",6",34.95,",,,6",15.56,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1907-08,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,,,164,",6",13,",6",9,",6",0,",6",,,,,0,",6",0,",6",0,",6",31,",6",16,",6",,,,,19070812,",,6",,,,,,,19070829,",,6",19070810,",,6",12.2,",6,12,",,,,,13,",,6,29,",40,",6,10,",,,0.3,6,,,0.3,",6",,,,,,,,,,,,,,,48.1,",,,6",,,,,,,,,23.61,",6",32.26,",,,6",14.97,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1907-09,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,,,98.2,",6",8,",6",5,",6",0,",6",,,,,0,",6",0,",6",0,",6",27,",6",10,",6",,,,,19070930,",,6",,,,,,,19070926,",,6",19070918,"+,,6",0.6,",6,30,",,,,,9.4,",,6,26,",35,",6,18,+",,,39.7,6,,,39.4,",6",,,,,,,,,,,,,,,28.1,",,,6",,,,,,,,,20.29,",6",29.34,",,,6",11.24,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1907-10,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,,,0.8,",6",3,",6",1,",6",0,",6",,,0,",6",0,",6",2,",6",0,",6",24,",6",1,",6",,,,,19071018,",,6",,,19071031,",,6",,,19071025,",,6",19071006,",,6",-1.7,",6,18,",,,0,",T,6,31,",21.1,",,6,25,",32.2,",6,06,",,,199.1,6,,,159.4,",6",,,,,,,,,,,,,,,23.1,",,,6",,,,,,,0,",T,,6",13.22,",6",23.28,",,,6",3.15,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1907-11,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,,,0,",6",3,",6",3,",6",0,",6",,,2,",6",0,",6",25,",6",2,",6",1,",6",0,",6",,,,,19071112,"+,,6",,,19071118,"+,,6",,,19071118,",,6",19071106,",,6",-15.6,",6,12,+",,,25,",,6,18,+",6.6,",,6,18,",22.2,",6,06,",,,617.3,6,,,418.2,",6",,,,,,,,,,,,,,,12.7,",,,6",,,,,,,50,",,,6",4.39,",6",12.87,",,,6",-4.09,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1907-12,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,,,0,",6",6,",6",4,",6",0,",6",,,4,",6",0,",6",31,",6",6,",6",0,",6",0,",6",,,,,19071218,",,6",,,19071212,",,6",,,19071212,",,6",19071205,",,6",-16.1,",6,18,",,,152,",,6,12,",14.7,",,6,12,",17.8,",6,05,",,,1218.1,6,,,600.8,",6",,,,,,,,,,,,,,,35.7,",,,6",,,,,,,278,",,,6",-1.05,",6",6.02,",,,6",-8.12,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1908-01,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,0,6,0,",6",1,",6",1,",6",0,",6",,,,,1,",6",31,",6",2,",6",0,",6",0,",6",,,,,19080116,",,6",,,,,,,19080115,",,6",19080109,",,6",-17.8,",6,16,",,,,,2.5,",,6,15,",18.3,",6,09,",,,1772.9,6,,,554.8,",6",,,,,,,,,,,,,,,2.5,",,,6",,,,,,,,,0.44,",6",9.01,",,,6",-8.14,",,,6",,,,,,,,,,,,,,,,,,,,
