STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES
USW00014971,1887-02,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",0,Z,0,"2,Z",6,",F",4,",F",0,",F",,,,,8,"1,F",26,"1,Z",13,"1,F",0,"1,F",0,"1,F",,,,,18870203,",1,Z",,,,,,,18870223,",,F",18870228,",1,F",-26.1,"1,Z,03,",,,,,16.5,",,F,23,",15,"1,F,28,",,,668.3,"1,F",32.3,",,,F",,,,,-7.32,"2,Z",-1.67,"1,,,F",-12.98,"1,,,Z",,,,,,,,,,
USW00014971,1887-03,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",0,Z,0,",Z",2,",Z",2,",Z",0,",Z",,,,,0,",F",24,",Z",3,",F",4,",F",0,",F",,,,,18870304,",,Z",,,,,,,18870328,",,Z",18870311,",,F",-12.2,",Z,04,",,,,,9.4,",,Z,28,",26.1,",F,11,",,,456.3,",F",13.2,",,,Z",,,,,3.61,",Z",10.01,",,,F",-2.78,",,,Z",,,,,,,,,,
USW00014971,1887-04,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",8.9,Z,8.9,",F",8,",F",4,",F",0,",F",,,,,0,",Z",5,",F",0,",Z",12,",Z",0,",Z",,,,,18870404,",,F",,,,,,,18870422,",,F",18870429,",,Z",-6.1,",F,04,",,,,,9.4,",,F,22,",31.1,",Z,29,",,,200.2,",Z",25,",,,F",,,,,11.96,",F",18.32,",,,Z",5.6,",,,F",,,,,,,,,,
USW00014971,1887-05,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",59.6,Z,50.7,"2,Z",6,",F",5,",F",2,",F",,,,,0,"1,F",0,"1,Z",0,"1,F",23,"1,F",3,"1,F",,,,,18870503,",1,Z",,,,,,,18870513,",,F",18870507,",1,F",2.8,"1,Z,03,",,,,,37.6,",,F,13,",34.4,"1,F,07,",,,37.5,"1,F",96.3,",,,F",,,,,18.75,"2,Z",25.6,"1,,,F",11.91,"1,,,Z",,,,,,,,,,
USW00014971,1887-06,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",178,Z,118.4,",Z",9,",Z",7,",Z",1,",Z",,,,,0,",Z",0,",Z",0,",Z",30,",Z",4,",Z",,,,,18870623,",,Z",,,,,,,18870608,",,Z",18870618,",,Z",7.8,",Z,23,",,,,,30.2,",,Z,08,",33.9,",Z,18,",,,8.6,",Z",72.7,",,,Z",,,,,21.99,",Z",27.39,",,,Z",16.59,",,,Z",,,,,,,,,,
USW00014971,1887-07,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",374.6,Z,196.6,",Z",8,",Z",2,",Z",0,",Z",,,,,0,",Z",0,",Z",0,",Z",31,",Z",13,",Z",,,,,18870724,"+,,Z",,,,,,,18870705,",,Z",18870729,",,Z",11.1,",Z,24,+",,,,,7.1,",,Z,05,",38.9,",Z,29,",0,Z,0,",Z",17.5,",,,Z",,,,,24.68,",Z",31.21,",,,Z",18.14,",,,Z",,,,,,,,,,
USW00014971,1887-08,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",509.3,Z,134.7,",Z",12,",Z",6,",Z",0,",Z",,,,,0,",Z",0,",Z",0,",Z",27,",Z",9,",Z",,,,,18870824,",,Z",,,,,,,18870829,",,Z",18870810,",,Z",7.2,",Z,24,",,,,,24.1,",,Z,29,",38.3,",Z,10,",21.9,Z,21.9,",Z",65.7,",,,Z",,,,,21.97,",Z",28.05,",,,Z",15.89,",,,Z",,,,,,,,,,
USW00014971,1887-09,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",573.1,Z,63.8,",Z",12,",Z",6,",Z",0,",Z",,,,,0,",Z",0,",Z",0,",Z",22,",Z",4,",Z",,,,,18870923,",,Z",,,,,,,18870925,",,Z",18870912,",,Z",3.9,",Z,23,",,,,,23.4,",,Z,25,",34.4,",Z,12,",73.8,Z,51.9,",Z",68.8,",,,Z",,,,,18.73,",Z",24.84,",,,Z",12.62,",,,Z",,,,,,,,,,
USW00014971,1887-10,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",575.3,Z,2.2,",F",1,",F",1,",F",0,",F",,,,,0,",F",9,",F",0,",F",10,",F",0,",F",,,,,18871025,",,F",,,,,,,18871008,",,F",18871005,",,F",-9.4,",F,25,",,,,,21.6,",,F,08,",31.7,",F,05,",333.8,Z,260,",F",21.6,",,,F",,,,,10.02,",F",17.55,",,,F",2.49,",,,F",,,,,,,,,,
USW00014971,1887-11,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",575.3,Z,0,"2,F",3,",F",2,",F",0,",F",,,,,3,"1,F",15,"1,F",5,"1,F",6,"1,F",0,"1,F",,,,,18871127,",1,F",,,,,,,18871108,",,F",18871101,",1,F",-26.1,"1,F,27,",,,,,24.6,",,F,08,",26.7,"1,F,01,",745.9,Z,412.1,"1,F",29.4,",,,F",,,,,3.5,"2,F",10.57,"1,,,F",-3.58,"1,,,F",,,,,,,,,,
USW00014971,1887-12,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",,,,,6,",Z",3,",Z",0,",Z",,,,,6,"3,F",28,"3,Z",9,"3,F",0,"3,F",0,"3,F",,,,,18871229,",3,Z",,,,,,,18871201,",,Z",18871217,",3,F",-26.7,"3,Z,29,",,,,,6.6,",,Z,01,",9.4,"3,F,17,",,,,,20.4,",,,Z",,,,,-4.29,"6,Z",1.01,"3,,,F",-9.6,"3,,,Z",,,,,,,,,,
USW00014971,1888-01,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",0,F,0,"4,F",2,",F",1,",F",0,",F",,,,,17,"2,F",29,"2,F",23,"2,F",0,"2,F",0,"2,F",,,,,18880115,",2,F",,,,,,,18880112,",,F",18880131,",2,F",-32.8,"2,F,15,",,,,,16.5,",,F,12,",12.8,"2,F,31,",,,844.8,"2,F",17.5,",,,F",,,,,-12.9,"4,F",-7.28,"2,,,F",-18.51,"2,,,F",,,,,,,,,,
USW00014971,1888-02,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",0,F,0,"4,F",4,",F",2,",F",0,",F",,,,,7,"2,F",24,"2,F",9,"2,F",0,"2,F",0,"2,F",,,,,18880209,",2,F",,,,,,,18880218,",,F",18880217,",2,F",-26.7,"2,F,09,",,,,,6.9,",,F,18,",18.3,"2,F,17,",,,510.9,"2,F",12.5,",,,F",,,,,-2.28,"4,F",3.56,"2,,,F",-8.11,"2,,,F",,,,,,,,,,
USW00014971,1888-03,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",0,F,0,"2,F",6,",F",6,",F",1,",F",,,,,2,"1,F",27,"1,F",11,"1,F",1,"1,F",0,"1,F",,,,,18880306,",1,F",,,,,,,18880325,",,F",18880318,",1,F",-23.9,"1,F,06,",,,,,25.4,",,F,25,",26.1,"1,F,18,",,,565.1,"1,F",77,",,,F",,,,,-1.22,"2,F",4.68,"1,,,F",-7.11,"1,,,F",,,,,,,,,,
USW00014971,1888-04,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",6.4,F,6.4,",Z",5,",F",3,",F",0,",F",,,,,0,",F",3,",Z",0,",F",11,",F",0,",F",,,,,18880420,",,Z",,,,,,,18880411,",,F",18880421,",,F",-2.8,",Z,20,",,,,,24.4,",,F,11,",30.6,",F,21,",,,192.2,",F",40.9,",,,F",,,,,12.14,",Z",19.52,",,,F",4.76,",,,Z",,,,,,,,,,
USW00014971,1888-05,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",12.2,F,5.8,",F",11,",F",8,",F",1,",F",,,,,0,",F",0,",F",0,",F",13,",F",0,",F",,,,,18880514,",,F",,,,,,,18880507,",,F",18880520,",,F",1.1,",F,14,",,,,,34.5,",,F,07,",30.6,",F,20,",,,139,",F",117.2,",,,F",,,,,14.04,",F",19.82,",,,F",8.25,",,,F",,,,,,,,,,
USW00014971,1888-06,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",109.9,F,97.7,",F",8,",F",5,",F",1,",F",,,,,0,",F",0,",F",0,",F",26,",F",5,",F",,,,,18880602,",,F",,,,,,,18880626,",,F",18880616,",,F",6.7,",F,02,",,,,,80.5,",,F,26,",34.4,",F,16,",,,16.3,",F",105.1,",,,F",,,,,21.05,",F",26.76,",,,F",15.33,",,,F",,,,,,,,,,
USW00014971,1888-07,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",336.1,F,226.2,",F",7,",F",6,",F",1,",F",,,,,0,",F",0,",F",0,",F",31,",F",16,",F",,,,,18880717,",,F",,,,,,,18880714,",,F",18880712,",,F",14.4,",F,17,",,,,,29.2,",,F,14,",37.8,",F,12,",0,F,0,",F",76.2,",,,F",,,,,25.63,",F",31.56,",,,F",19.7,",,,F",,,,,,,,,,
USW00014971,1888-08,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",461.7,F,125.6,",F",8,",F",6,",F",1,",F",,,,,0,",F",0,",F",0,",F",31,",F",5,",F",,,,,18880809,",,F",,,,,,,18880820,",,F",18880802,",,F",10,",F,09,",,,,,69.3,",,F,20,",37.8,",F,02,",3.6,F,3.6,",F",125.8,",,,F",,,,,22.27,",F",27.9,",,,F",16.63,",,,F",,,,,,,,,,
USW00014971,1888-09,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",507.3,F,45.6,",F",1,",F",0,",F",0,",F",,,,,0,",F",0,",F",0,",F",25,",F",2,",F",,,,,18880928,",,F",,,,,,,18880914,",,F",18880910,",,F",1.1,",F,28,",,,,,2,",,F,14,",34.4,",F,10,",61.4,F,57.8,",F",2,",,,F",,,,,17.93,",F",25.14,",,,F",10.71,",,,F",,,,,,,,,,
USW00014971,1888-10,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",507.3,F,0,",F",6,",F",3,",F",0,",F",,,,,0,",F",7,",F",0,",F",6,",F",0,",F",,,,,18881020,",,F",,,,,,,18881014,",,F",18881008,",,F",-3.9,",F,20,",,,,,21.8,",,F,14,",26.7,",F,08,",312.8,F,251.4,",F",46.6,",,,F",,,,,10.22,",F",17.06,",,,F",3.39,",,,F",,,,,,,,,,
USW00014971,1888-11,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",507.3,F,0,",F",2,",F",1,",F",0,",F",,,,,0,",F",22,",F",1,",F",2,",F",0,",F",,,,,18881116,",,F",,,,,,,18881101,",,F",18881101,",,F",-9.4,",F,16,",,,,,4.6,",,F,01,",23.9,",F,01,",758.9,F,446.1,",F",4.9,",,,F",,,,,3.46,",F",9.48,",,,F",-2.55,",,,F",,,,,,,,,,
USW00014971,1888-12,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",507.3,F,0,",F",4,",F",2,",F",0,",F",,,,,0,",F",31,",F",7,",F",0,",F",0,",F",,,,,18881228,",,F",,,,,,,18881230,",,F",18881204,",,F",-15,",F,28,",,,,,5.1,",,F,30,",18.9,",F,04,",1326.8,F,567.9,",F",11.7,",,,F",,,,,0.01,",F",6.45,",,,F",-6.42,",,,F",,,,,,,,,,
USW00014971,1889-01,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",0,Z,0,"4,F",6,",F",3,",F",0,",F",,,,,2,"2,F",29,"2,F",12,"2,F",0,"2,F",0,"2,F",,,,,18890120,",2,F",,,,,,,18890115,",,F",18890125,"+,2,F",-20,"2,F,20,",,,,,21.1,",,F,15,",9.4,"2,F,25,+",1931.9,Z,605.1,"2,F",47.9,",,,F",,,,,-3.99,"4,F",2.08,"2,,,F",-10.07,"2,,,F",,,,,,,,,,
