"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00013957","1940-05","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","169.1","0","101.0",",0","7",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","1",",0","","","","","19400502",",,0","19400531","+,,0","19400531","+,,0","6","","19400523",",,0","19400521",",,0","11.7",",0,02,","0",",,0,31,+","0",",,0,31,+","37.6",",,0,23,","32.8",",0,21,","1436.3","0","1.1",",0","105.6",",,,0","","","","","","","","","0",",,,0","21.55",",0","27.46",",,,0","15.65",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013957","1940-06","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","389.4","0","220.3",",0","10",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","15",",0","","","","","19400625",",,0","19400630","+,,0","19400630","+,,0","6","","19400628",",,0","19400627","+,,0","16.1",",0,25,","0",",,0,30,+","0",",,0,30,+","58.4",",,0,28,","34.4",",0,27,+","1436.3","0","0.0",",0","132.0",",,,0","","","","","","","","","0",",,,0","25.68",",0","30.85",",,,0","20.50",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013957","1940-07","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","674.9","0","285.5",",0","10",",0","8",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","19",",0","","","","","19400709","+,,0","19400731","+,,0","19400731","+,,0","","","19400719",",,0","19400729","+,,0","20.0",",0,09,+","0",",,0,31,+","0",",,0,31,+","31.5",",,0,19,","36.7",",0,29,+","0.0","0","0.0",",0","118.6",",,,0","","","","","","","","","0",",,,0","27.54",",0","32.55",",,,0","22.54",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013957","1940-08","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","927.9","0","253.0",",0","13",",0","11",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","19",",0","","","","","19400821",",,0","19400831","+,,0","19400831","+,,0","9","","19400828",",,0","19400817","+,,0","15.0",",0,21,","0",",,0,31,+","0",",,0,31,+","62.5",",,0,28,","36.1",",0,17,+","0.0","0","0.0",",0","249.0",",,,0","","","","","","","","","0",",,,0","26.49",",0","31.84",",,,0","21.15",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013957","1940-09","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","1085.9","0","158.0",",0","4",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","14",",0","","","","","19400927",",,0","19400930","+,,0","19400930","+,,0","1","","19400902",",,0","19400909","+,,0","7.8",",0,27,","0",",,0,30,+","0",",,0,30,+","14.0",",,0,02,","35.6",",0,09,+","10.7","0","10.7",",0","20.8",",,,0","","","","","","","","","0",",,,0","23.24",",0","29.91",",,,0","16.58",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013957","1940-10","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","1159.1","0","73.2",",0","5",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","0",",0","","","","","19401017",",,0","19401031","+,,0","19401031","+,,0","","","19401031",",,0","19401006",",,0","4.4",",0,17,","0",",,0,31,+","0",",,0,31,+","48.8",",,0,31,","31.7",",0,06,","27.1","0","16.4",",0","69.1",",,,0","","","","","","","","","0",",,,0","20.17",",0","27.90",",,,0","12.43",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013957","1940-11","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","1162.2","0","3.1",",0","12",",0","9",",0","4",",0","0",",0","0",",0","0",",0","4",",0","0",",0","13",",0","0",",0","","","","","19401115",",,0","19401130","+,,0","19401130","+,,0","","","19401122",",,0","19401102",",,0","-4.4",",0,15,","0",",,0,30,+","0",",,0,30,+","78.0",",,0,22,","25.0",",0,02,","196.7","0","169.6",",0","260.3",",,,0","","","","","","","","","0",",,,0","12.78",",0","18.24",",,,0","7.32",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013957","1940-12","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","1162.2","0","0.0",",0","11",",0","9",",0","3",",0","0",",0","0",",0","0",",0","2",",0","0",",0","5",",0","0",",0","","","","","19401216",",,0","19401231","+,,0","19401231","+,,0","3","","19401226",",,0","19401209","+,,0","-1.7",",0,16,","0",",,0,31,+","0",",,0,31,+","57.9",",,0,26,","22.2",",0,09,+","411.5","0","214.8",",0","211.3",",,,0","","","","","","","","","0",",,,0","11.40",",0","16.74",",,,0","6.07",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013957","1941-01","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","0.0","0","0.0",",0","11",",0","6",",0","2",",0","0",",0","0",",0","0",",0","3",",0","0",",0","1",",0","0",",0","","","","","19410119",",,0","19410131","+,,0","19410118",",,0","5","","19410101",",,0","19410123",",,0","-4.4",",0,19,","0",",,0,31,+","0",",T,0,18,","60.2",",,0,01,","21.1",",0,23,","670.3","0","258.8",",0","129.0",",,,0","","","","","","","","","0",",T,,0","9.98",",0","15.17",",,,0","4.79",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013957","1941-02","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","0.0","0","0.0",",0","11",",0","6",",0","2",",0","0",",0","0",",0","0",",0","3",",0","0",",0","1",",0","0",",0","","","","","19410209",",,0","19410228","+,,0","19410228","+,,0","","","19410219",",,0","19410218",",,0","-2.8",",0,09,","0",",,0,28,+","0",",,0,28,+","57.2",",,0,19,","21.7",",0,18,","956.2","0","285.9",",0","113.0",",,,0","","","","","","","","","0",",,,0","8.12",",0","12.85",",,,0","3.39",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013957","1941-03","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","2.8","0","2.8",",0","9",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","8",",0","0",",0","","","","","19410301",",,0","19410331","+,,0","19410308",",,0","3","","19410306",",,0","19410303",",,0","0.6",",0,01,","0",",,0,31,+","0",",T,0,08,","41.9",",,0,06,","26.7",",0,03,","1173.9","0","217.7",",0","96.4",",,,0","","","","","","","","","0",",T,,0","11.40",",0","16.36",",,,0","6.44",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013957","1941-04","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","58.5","0","55.7",",0","10",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","0",",0","","","","","19410405",",,0","19410430","+,,0","19410430","+,,0","2","","19410423",",,0","19410418",",,0","7.8",",0,05,","0",",,0,30,+","0",",,0,30,+","21.3",",,0,23,","30.0",",0,18,","1195.2","0","21.3",",0","68.7",",,,0","","","","","","","","","0",",,,0","19.48",",0","24.96",",,,0","14.00",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013957","1941-05","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","225.4","0","166.9",",0","8",",0","7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","6",",0","","","","","19410510","+,,0","19410531","+,,0","19410531","+,,0","3","","19410505",",,0","19410525",",,0","14.4",",0,10,+","0",",,0,31,+","0",",,0,31,+","116.1",",,0,05,","33.3",",0,25,","1195.2","0","0.0",",0","221.0",",,,0","","","","","","","","","0",",,,0","23.72",",0","28.96",",,,0","18.47",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013957","1941-06","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","468.0","0","242.6",",0","10",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","18",",0","","","","","19410617",",,0","19410630","+,,0","19410630","+,,0","7","","19410610",",,0","19410626",",,0","17.2",",0,17,","0",",,0,30,+","0",",,0,30,+","35.8",",,0,10,","36.1",",0,26,","1195.2","0","0.0",",0","111.1",",,,0","","","","","","","","","0",",,,0","26.42",",0","31.75",",,,0","21.09",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013957","1941-07","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","791.4","0","323.4",",0","7",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","26",",0","","","","","19410706",",,0","19410731","+,,0","19410731","+,,0","14","","19410724",",,0","19410717",",,0","20.6",",0,06,","0",",,0,31,+","0",",,0,31,+","20.3",",,0,24,","37.2",",0,17,","0.0","0","0.0",",0","83.8",",,,0","","","","","","","","","0",",,,0","28.77",",0","34.32",",,,0","23.21",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013957","1941-08","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","1135.0","0","343.6",",0","7",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","29",",0","","","","","19410821","+,,0","19410831","+,,0","19410831","+,,0","11","","19410803",",,0","19410811","+,,0","21.1",",0,21,+","0",",,0,31,+","0",",,0,31,+","20.3",",,0,03,","38.3",",0,11,+","0.0","0","0.0",",0","40.0",",,,0","","","","","","","","","0",",,,0","29.42",",0","35.13",",,,0","23.71",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013957","1941-09","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","1381.8","0","246.8",",0","6",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","18",",0","","","","","19410927","+,,0","19410930","+,,0","19410930","+,,0","4","","19410924",",,0","19410919","+,,0","13.3",",0,27,+","0",",,0,30,+","0",",,0,30,+","30.7",",,0,24,","35.6",",0,19,+","0.0","0","0.0",",0","61.3",",,,0","","","","","","","","","0",",,,0","26.56",",0","32.18",",,,0","20.94",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013957","1941-10","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","1546.3","0","164.5",",0","11",",0","8",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","8",",0","3","","","","19411031",",,0","19411031","+,,0","19411031","+,,0","6","","19411030",",,0","19411006","+,,0","6.7",",0,31,","0",",,0,31,+","0",",,0,31,+","102.4",",,0,30,","33.9",",0,06,+","25.6","0","25.6",",0","216.0",",,,0","","","","","","","","","0",",,,0","22.81",",0","28.16",",,,0","17.46",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013957","1941-11","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","1548.5","0","2.2",",0","5",",0","5",",0","2",",0","0",",0","0",",0","0",",0","2",",0","0",",0","10",",0","0",",0","3","","","","19411125",",,0","19411130","+,,0","19411130","+,,0","1","","19411122",",,0","19411116",",,0","-2.2",",0,25,","0",",,0,30,+","0",",,0,30,+","55.6",",,0,22,","27.8",",0,16,","218.6","0","193.0",",0","104.1",",,,0","","","","","","","","","0",",,,0","11.97",",0","18.35",",,,0","5.60",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013957","1941-12","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","1548.5","0","0.0",",0","8",",0","6",",0","1",",0","0",",0","0",",0","0",",0","4",",0","0",",0","4",",0","0",",0","4","","","","19411207",",,0","19411231","+,,0","19411231","+,,0","2","","19411211",",,0","19411201",",,0","-2.2",",0,07,","0",",,0,31,+","0",",,0,31,+","28.2",",,0,11,","23.3",",0,01,","468.6","0","250.0",",0","85.7",",,,0","","","","","","","","","0",",,,0","10.27",",0","15.52",",,,0","5.02",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013957","1942-01","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","0.0","0","0.0",",0","5",",0","3",",0","0",",0","0",",0","0",",0","0",",0","13",",0","4",",0","5",",0","0",",0","2","","","","19420108",",,0","19420103",",,0","19420109","+,,0","","","19420130",",,0","19420123",",,0","-9.4",",0,08,","0",",T,0,03,","0",",T,0,09,+","18.5",",,0,30,","25.0",",0,23,","814.8","0","346.2",",0","28.5",",,,0","","","","","","","","","0",",T,,0","7.17",",0","13.33",",,,0","1.01",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013957","1942-02","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","0.0","0","0.0",",0","6",",0","5",",0","0",",0","0",",0","0",",0","0",",0","10",",0","0",",0","3",",0","0",",0","1","","","","19420212",",,0","19420228","+,,0","19420228","+,,0","","","19420216",",,0","19420205",",,0","-2.8",",0,12,","0",",,0,28,+","0",",,0,28,+","12.7",",,0,16,","22.2",",0,05,","1089.5","0","274.7",",0","34.0",",,,0","","","","","","","","","0",",,,0","8.52",",0","13.56",",,,0","3.48",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013957","1942-03","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","16.7","0","16.7",",0","9",",0","6",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","16",",0","0",",0","1","","","","19420303",",,0","19420331","+,,0","19420308","+,,0","1","","19420301",",,0","19420313",",,0","0.0",",0,03,","0",",,0,31,+","0",",T,0,08,+","23.6",",,0,01,","29.4",",0,13,","1240.4","0","150.9",",0","76.7",",,,0","","","","","","","","","0",",T,,0","14.00",",0","20.07",",,,0","7.94",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013957","1942-04","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","75.7","0","59.0",",0","10",",0","7",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","24",",0","0",",0","4","","","","19420401",",,0","19420430","+,,0","19420430","+,,0","6","","19420425",",,0","19420426",",,0","2.8",",0,01,","0",",,0,30,+","0",",,0,30,+","133.4",",,0,25,","31.7",",0,26,","1263.2","0","22.8",",0","262.7",",,,0","","","","","","","","","0",",,,0","19.54",",0","25.01",",,,0","14.07",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013957","1942-05","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","209.9","0","134.2",",0","6",",0","4",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","6",",0","3","","","","19420508",",,0","19420531","+,,0","19420531","+,,0","4","","19420518",",,0","19420531",",,0","11.1",",0,08,","0",",,0,31,+","0",",,0,31,+","86.9",",,0,18,","35.0",",0,31,","1266.5","0","3.3",",0","203.2",",,,0","","","","","","","","","0",",,,0","22.56",",0","27.91",",,,0","17.21",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013957","1942-06","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","481.8","0","271.9",",0","14",",0","9",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","20",",0","2","","","","19420614",",,0","19420630","+,,0","19420630","+,,0","12","","19420613",",,0","19420629",",,0","18.9",",0,14,","0",",,0,30,+","0",",,0,30,+","38.1",",,0,13,","36.7",",0,29,","1266.5","0","0.0",",0","153.4",",,,0","","","","","","","","","0",",,,0","27.40",",0","32.74",",,,0","22.05",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013957","1942-07","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","807.3","0","325.5",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","26",",0","2","","","","19420725",",,0","19420731","+,,0","19420731","+,,0","4","","19420721",",,0","19420715","+,,0","18.9",",0,25,","0",",,0,31,+","0",",,0,31,+","8.4",",,0,21,","38.3",",0,15,+","0.0","0","0.0",",0","14.3",",,,0","","","","","","","","","0",",,,0","28.83",",0","34.75",",,,0","22.92",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013957","1942-08","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","1111.0","0","303.7",",0","15",",0","10",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","20",",0","1","","","","19420813",",,0","19420831","+,,0","19420831","+,,0","10","","19420823",",,0","19420802","+,,0","20.0",",0,13,","0",",,0,31,+","0",",,0,31,+","76.2",",,0,23,","38.3",",0,02,+","0.0","0","0.0",",0","202.9",",,,0","","","","","","","","","0",",,,0","28.13",",0","33.03",",,,0","23.23",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013957","1942-09","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","1291.4","0","180.4",",0","6",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","9",",0","1","","","","19420929","+,,0","19420930","+,,0","19420930","+,,0","4","","19420907",",,0","19420919","+,,0","6.1",",0,29,+","0",",,0,30,+","0",",,0,30,+","34.3",",,0,07,","33.3",",0,19,+","16.4","0","16.4",",0","71.2",",,,0","","","","","","","","","0",",,,0","23.80",",0","29.24",",,,0","18.36",",,,0","","","","","","","","","","","","","","","","","",""
