STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HN01,HN01_ATTRIBUTES,HN02,HN02_ATTRIBUTES,HN03,HN03_ATTRIBUTES,HN04,HN04_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,HX01,HX01_ATTRIBUTES,HX02,HX02_ATTRIBUTES,HX03,HX03_ATTRIBUTES,HX04,HX04_ATTRIBUTES,LN01,LN01_ATTRIBUTES,LN02,LN02_ATTRIBUTES,LN03,LN03_ATTRIBUTES,LN04,LN04_ATTRIBUTES,LX01,LX01_ATTRIBUTES,LX02,LX02_ATTRIBUTES,LX03,LX03_ATTRIBUTES,LX04,LX04_ATTRIBUTES,MN01,MN01_ATTRIBUTES,MN02,MN02_ATTRIBUTES,MN03,MN03_ATTRIBUTES,MN04,MN04_ATTRIBUTES,MNPN,MNPN_ATTRIBUTES,MX01,MX01_ATTRIBUTES,MX02,MX02_ATTRIBUTES,MX03,MX03_ATTRIBUTES,MX04,MX04_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES
USC00257830,1909-12,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,9,",6",4,",6",0,",6",,,7,",6",,,,,,,,,,,,,,,,,19091211,",,6",,,19091213,"+,,6",,,,,,,76,",,6,11,",3,",,6,13,+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6,",,,6",278,",,,6",,,,,,,,
USC00257830,1910-01,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,1,",6",1,",6",0,",6",,,1,",6",,,,,,,,,,,,,,,,,19100104,",,6",,,19100104,",,6",,,,,,,76,",,6,04,",7.6,",,6,04,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,",,,6",76,",,,6",,,,,,,,
USC00257830,1910-02,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,2,",6",2,",6",0,",6",,,1,",6",,,,,,,,,,,,,,,,,19100212,",,6",,,19100202,",,6",,,,,,,25,",,6,12,",5.1,",,6,02,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,",,,6",46,",,,6",,,,,,,,
USC00257830,1910-03,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,1,",6",1,",6",0,",6",,,1,",6",,,,,,,,,,,,,,,,,19100329,",,6",,,19100329,",,6",,,,,,,102,",,6,29,",12.7,",,6,29,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,",,,6",102,",,,6",,,,,,,,
USC00257830,1910-04,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,4,",6",2,",6",0,",6",,,0,",6",,,,,,,,,,,,,,,,,19100415,",,6",,,19100413,",,6",,,,,,,13,",,6,15,",10.7,",,6,13,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1,",,,6",13,",,,6",,,,,,,,
USC00257830,1910-05,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,11,",6",6,",6",0,",6",,,1,",6",,,,,,,,,,,,,,,,,19100502,",,6",,,19100521,",,6",,,,,,,25,",,6,02,",24.4,",,6,21,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.8,",,,6",25,",,,6",,,,,,,,
USC00257830,1910-06,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,11,",6",5,",6",1,",6",,,,,,,,,,,,,,,,,,,,,,,,,19100629,",,6",,,,,,,,,52.3,",,6,29,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.3,",,,6",,,,,,,,,,
USC00257830,1910-07,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,5,",6",3,",6",0,",6",,,,,,,,,,,,,,,,,,,,,,,,,19100729,",,6",,,,,,,,,16.8,",,6,29,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3,",,,6",,,,,,,,,,
USC00257830,1910-08,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,8,",6",5,",6",0,",6",,,,,,,,,,,,,,,,,,,,,,,,,19100814,"+,,6",,,,,,,,,19.1,",,6,14,+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.7,",,,6",,,,,,,,,,
USC00257830,1910-09,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,9,",6",5,",6",0,",6",,,,,,,,,,,,,,,,,,,,,,,,,19100923,",,6",,,,,,,,,12.7,",,6,23,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8,",,,6",,,,,,,,,,
USC00257830,1910-10,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,2,",6",0,",6",0,",6",,,0,",6",,,,,,,,,,,,,,,,,19101027,"+,,6",,,19101002,",,6",,,,,,,0,",T,6,27,+",0.8,",,6,02,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,",,,6",0,",T,,6",,,,,,,,
USC00257830,1910-11,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,2,",6",1,",6",0,",6",,,1,",6",,,,,,,,,,,,,,,,,19101127,",,6",,,19101127,",,6",,,,,,,25,",,6,27,",2.5,",,6,27,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,",,,6",25,",,,6",,,,,,,,
USC00257830,1910-12,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,4,",6",0,",6",0,",6",,,3,",6",,,,,,,,,,,,,,,,,19101221,"+,,6",,,19101221,",,6",,,,,,,38,",,6,21,+",2.3,",,6,21,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,",,,6",101,",,,6",,,,,,,,
USC00257830,1911-01,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,3,",6",2,",6",0,",6",,,3,",6",,,,,,,,,,,,,,,,,19110121,",,6",,,19110121,",,6",,,,,,,76,",,6,21,",3.8,",,6,21,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,",,,6",139,",,,6",,,,,,,,
USC00257830,1911-02,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,3,",6",2,",6",0,",6",,,2,",6",,,,,,,,,,,,,,,,,19110228,"+,,6",,,19110228,"+,,6",,,,,,,25,",,6,28,+",2.5,",,6,28,+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,",,,6",63,",,,6",,,,,,,,
USC00257830,1911-03,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,2,",6",0,",6",0,",6",,,1,",6",,,,,,,,,,,,,,,,,19110326,",,6",,,19110326,",,6",,,,,,,25,",,6,26,",0.8,",,6,26,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,",,,6",25,",,,6",,,,,,,,
USC00257830,1911-04,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,7,",6",6,",6",1,",6",,,2,",6",,,,,,,,,,,,,,,,,19110430,",,6",,,19110429,",,6",,,,,,,152,",,6,30,",25.4,",,6,29,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.5,",,,6",203,",,,6",,,,,,,,
USC00257830,1911-05,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,9,",6",3,",6",0,",6",,,0,",6",,,,,,,,,,,,,,,,,19110531,"+,,6",,,19110529,",,6",,,,,,,0,",,6,31,+",8.6,",,6,29,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,",,,6",0,",,,6",,,,,,,,
USC00257830,1911-06,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,5,",6",4,",6",1,",6",,,,,,,,,,,,,,,,,,,,,,,,,19110616,",,6",,,,,,,,,57.4,",,6,16,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.7,",,,6",,,,,,,,,,
USC00257830,1911-07,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,7,",6",4,",6",0,",6",,,0,",6",,,,,,,,,,,,,,,,,19110731,"+,,6",,,19110714,",,6",,,,,,,0,",,6,31,+",11.9,",,6,14,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,",,,6",0,",,,6",,,,,,,,
USC00257830,1911-08,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,8,",6",6,",6",1,",6",,,,,,,,,,,,,,,,,,,,,,,,,19110811,",,6",,,,,,,,,28.2,",,6,11,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.3,",,,6",,,,,,,,,,
USC00257830,1911-09,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,5,",6",2,",6",0,",6",,,,,,,,,,,,,,,,,,,,,,,,,19110903,",,6",,,,,,,,,14,",,6,03,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,",,,6",,,,,,,,,,
USC00257830,1911-10,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,5,",6",5,",6",0,",6",,,1,",6",,,,,,,,,,,,,,,,,19111020,",,6",,,19111005,",,6",,,,,,,51,",,6,20,",22.1,",,6,05,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.3,",,,6",51,",,,6",,,,,,,,
USC00257830,1911-11,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,5,",6",2,",6",0,",6",,,,,,,,,,,,,,,,,,,,,,,,,19111126,"+,,6",,,,,,,,,2.5,",,6,26,+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,",,,6",,,,,,,,,,
USC00257830,1911-12,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,3,",6",2,",6",0,",6",,,3,",6",,,,,,,,,,,,,,,,,19111220,",,6",,,19111220,",,6",,,,,,,127,",,6,20,",12.7,",,6,20,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,",,,6",177,",,,6",,,,,,,,
USC00257830,1912-01,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,7,",6",3,",6",0,",6",,,3,",6",,,,,,,,,,,1,,,,,,19120111,",,6",,,19120111,",,6",,,,,,,76,",,6,11,",7.6,",,6,11,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9,",,,6",204,",,,6",,,,,,,,
USC00257830,1912-02,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,12,",6",3,",6",0,",6",,,6,",6",,,,,,,,,,,1,,,,,,19120228,",,6",,,19120228,",,6",,,,,,,127,",,6,28,",12.7,",,6,28,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.3,",,,6",382,",,,6",,,,,,,,
USC00257830,1912-03,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,11,",6",8,",6",0,",6",,,7,",6",,,,,,,,,,,1,,,,,,19120311,"+,,6",,,19120311,"+,,6",,,,,,,127,",,6,11,+",12.7,",,6,11,+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.4,",,,6",560,",,,6",,,,,,,,
USC00257830,1912-04,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,9,",6",5,",6",1,",6",,,2,",6",,,,,,,,,,,,,,,,,19120413,",,6",,,19120413,",,6",,,,,,,76,",,6,13,",27.9,",,6,13,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.4,",,,6",147,",,,6",,,,,,,,
USC00257830,1912-05,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,9,",6",5,",6",1,",6",,,2,",6",,,,,,,,,,,,,,,,,19120513,",,6",,,19120510,",,6",,,,,,,51,",,6,13,",34.5,",,6,10,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.6,",,,6",89,",,,6",,,,,,,,
USC00257830,1912-06,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,9,",6",6,",6",0,",6",,,,,,,,,,,,,,,1,,,,,,,,,,19120630,",,6",,,,,,,,,21.6,",,6,30,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.2,",,,6",,,,,,,,,,
USC00257830,1912-07,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,11,",6",10,",6",1,",6",,,,,,,,,,,,,,,,,,,,,,,,,19120728,",,6",,,,,,,,,33.5,",,6,28,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.2,",,,6",,,,,,,,,,
USC00257830,1912-08,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,11,",6",8,",6",1,",6",,,0,",6",,,,,,,,,,,,,,,,,19120831,"+,,6",,,19120802,",,6",,,,,,,0,",,6,31,+",39.6,",,6,02,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.1,",,,6",0,",,,6",,,,,,,,
USC00257830,1912-09,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,9,",6",6,",6",1,",6",,,1,",6",,,,,,,,,,,,,,,,,19120929,",,6",,,19120914,",,6",,,,,,,25,",,6,29,",28.7,",,6,14,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.8,",,,6",25,",,,6",,,,,,,,
USC00257830,1912-10,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,6,",6",5,",6",0,",6",,,2,",6",,,,,,,,,,,,,,,,,19121030,",,6",,,19121008,",,6",,,,,,,76,",,6,30,",20.1,",,6,08,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,",,,6",101,",,,6",,,,,,,,
USC00257830,1912-11,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,2,",6",2,",6",0,",6",,,2,",6",,,,,,,,,,,,,,,,,19121126,",,6",,,19121126,",,6",,,,,,,51,",,6,26,",5.1,",,6,26,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,",,,6",76,",,,6",,,,,,,,
USC00257830,1912-12,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,7,",6",3,",6",0,",6",,,,,,,,,,,,,,,,,,,,,,,,,19121205,",,6",,,,,,,,,5.1,",,6,05,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3,",,,6",,,,,,,,,,
USC00257830,1913-01,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,4,",6",3,",6",0,",6",,,3,",6",,,,,,,,,,,1,,,,,,19130131,"+,,6",,,19130131,"+,,6",,,,,,,25,",,6,31,+",2.5,",,6,31,+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,",,,6",75,",,,6",,,,,,,,
USC00257830,1913-02,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,6,",6",6,",6",0,",6",,,6,",6",,,,,,,,,,,,,,,,,19130220,"+,,6",,,19130220,"+,,6",,,,,,,38,",,6,20,+",3.8,",,6,20,+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6,",,,6",176,",,,6",,,,,,,,
USC00257830,1913-03,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,7,",6",4,",6",0,",6",,,4,",6",,,,,,,,,,,,,,,,,19130314,",,6",,,19130314,",,6",,,,,,,152,",,6,14,",15.2,",,6,14,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.4,",,,6",381,",,,6",,,,,,,,
USC00257830,1913-04,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,10,",6",7,",6",0,",6",,,4,",6",,,,,,,,,,,,,,,,,19130409,",,6",,,19130409,",,6",,,,,,,191,",,6,09,",19.1,",,6,09,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.9,",,,6",381,",,,6",,,,,,,,
USC00257830,1913-05,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,8,",6",3,",6",0,",6",,,0,",6",,,,,,,,,,,,,,,,,19130531,"+,,6",,,19130514,",,6",,,,,,,0,",,6,31,+",15.7,",,6,14,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8,",,,6",0,",,,6",,,,,,,,
USC00257830,1913-06,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,8,",6",4,",6",1,",6",,,,,,,,,,,,,,,,,,,,,,,,,19130619,",,6",,,,,,,,,31.2,",,6,19,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,",,,6",,,,,,,,,,
USC00257830,1913-07,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,9,",6",6,",6",1,",6",,,,,,,,,,,,,,,,,,,,,,,,,19130717,",,6",,,,,,,,,43.7,",,6,17,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.2,",,,6",,,,,,,,,,
